Pendidikan Agama,Pendidikan Pancasila,Bahasa Inggris,Bahasa Mandarin,Matematika (Umum),Biologi,Fisika,Kimia,Geografi,Sejarah,Sosiologi,Ekonomi,"Pendidikan Jasmani, Olahraga, dan Kesehatan",Informatika,Seni Musik,Bahasa Indonesia,Rata-rata,Pendidikan Agama (Next Sem),Pendidikan Pancasila (Next Sem),Bahasa Inggris (Next Sem),Bahasa Mandarin (Next Sem),Matematika (Umum) (Next Sem),Biologi (Next Sem),Fisika (Next Sem),Kimia (Next Sem),Geografi (Next Sem),Sejarah (Next Sem),Sosiologi (Next Sem),Ekonomi (Next Sem),"Pendidikan Jasmani, Olahraga, dan Kesehatan (Next Sem)",Informatika (Next Sem),Seni Musik (Next Sem),Bahasa Indonesia (Next Sem),Rata-rata (Next Sem),Kategori Performa,Kategori Performa (Next Sem),Jumlah Ketidakhadiran,Persentase Tugas,performance_trend
87,82,92,79,88,81,82,89,83,83,82,95,83,86,85,87,85.32,83,81,93,73,90,81,76,87,81,78,81,91,77,87,79,82,82.5,High,Mid,2,74,Significant Decrease Performance
69,71,74,68,78,78,75,73,57,74,70,71,63,75,65,73,70.88,63,77,77,73,75,77,73,70,58,75,69,68,59,73,64,74,70.31,Mid,Mid,4,74,Stable Performance
73,66,74,64,71,62,73,73,70,66,61,66,74,69,60,63,67.82,75,66,74,64,76,56,71,71,73,68,57,70,74,75,57,65,68.25,Low,Low,8,43,Stable Performance
81,77,68,66,71,65,74,87,67,74,81,78,74,74,69,73,73.66,88,75,66,67,71,70,74,85,64,72,84,72,76,74,69,76,73.94,Mid,Mid,6,69,Stable Performance
89,93,85,87,83,89,92,91,82,89,85,93,87,80,87,90,87.62,87,87,79,82,81,93,94,88,79,83,82,91,82,73,85,86,84.5,High,Mid,5,83,Significant Decrease Performance
72,68,68,66,69,67,76,66,72,71,76,76,74,73,66,66,70.39,69,73,66,69,70,64,78,64,70,71,74,72,71,68,62,69,69.38,Mid,Low,6,40,Significant Decrease Performance
79,87,84,88,88,80,83,83,82,81,89,83,83,79,87,78,83.32,83,84,80,87,90,77,86,85,82,82,88,84,84,77,88,77,83.38,Mid,Mid,5,81,Stable Performance
86,86,81,85,84,83,83,84,84,84,78,83,85,84,88,86,83.99,94,88,89,86,92,81,90,89,86,85,84,82,96,90,95,94,88.81,Mid,High,0,84,Significant Increase Performance
68,71,71,72,72,75,73,78,73,68,70,75,64,66,72,77,71.67,63,61,66,69,66,67,67,80,71,62,68,63,61,60,67,71,66.38,Mid,Low,9,58,Significant Decrease Performance
84,77,83,78,70,78,75,82,78,71,70,78,66,75,79,73,76.09,92,86,82,84,76,86,78,85,90,75,81,88,67,75,80,85,81.88,Mid,Mid,4,78,Stable Performance
88,89,78,82,88,83,76,82,79,89,86,82,84,77,79,91,83.3,91,90,79,80,86,81,77,86,76,94,84,81,76,72,82,90,82.81,Mid,Mid,4,79,Stable Performance
73,78,74,80,63,72,81,78,80,73,70,68,68,77,76,73,74.0,75,82,77,86,72,71,84,87,85,78,84,71,74,82,81,76,79.06,Mid,Mid,5,75,Stable Performance
77,75,79,79,69,75,66,75,77,67,72,74,75,73,68,74,73.31,78,84,86,85,73,79,74,81,79,72,70,79,83,78,72,83,78.5,Mid,Mid,4,84,Stable Performance
64,71,70,71,69,65,70,77,78,84,81,66,70,72,72,72,72.02,57,68,69,59,63,53,54,77,72,82,78,58,63,60,50,67,64.38,Mid,Low,2,65,Significant Decrease Performance
82,65,66,78,67,72,75,72,71,75,65,67,73,60,77,71,71.01,84,58,71,77,65,69,72,69,67,76,66,63,73,61,76,67,69.62,Mid,Low,3,64,Significant Decrease Performance
73,64,65,70,76,61,76,70,71,73,73,68,75,60,70,73,69.75,71,62,56,69,76,65,75,64,72,75,71,74,79,58,75,76,69.88,Low,Low,11,50,Stable Performance
67,60,73,63,69,70,69,75,69,71,69,72,76,70,73,76,69.92,73,58,75,67,67,73,70,79,75,74,75,76,84,76,78,83,73.94,Low,Mid,5,76,Significant Increase Performance
82,73,80,76,81,78,77,77,76,77,74,74,84,78,72,74,77.1,83,76,79,74,81,80,90,79,83,84,79,77,90,81,80,74,80.62,Mid,Mid,6,72,Stable Performance
76,67,64,64,63,65,65,78,71,69,64,70,62,69,81,74,69.04,75,62,63,59,59,65,66,80,72,70,67,70,63,69,85,73,68.62,Low,Low,7,31,Stable Performance
75,80,74,72,85,70,74,78,71,79,75,79,79,75,85,73,76.53,73,83,80,76,81,70,73,83,70,80,72,82,80,81,85,71,77.5,Mid,Mid,5,80,Stable Performance
74,73,76,68,63,78,66,63,66,62,70,64,66,72,70,67,68.68,89,81,86,87,73,98,82,78,73,81,81,72,83,81,79,83,81.69,Low,Mid,5,60,Significant Increase Performance
78,77,74,77,79,76,79,72,74,73,74,83,80,71,79,75,76.27,84,79,78,72,79,75,80,70,75,71,71,77,83,73,76,74,76.06,Mid,Mid,4,74,Stable Performance
76,72,84,72,79,74,83,77,78,79,81,79,79,77,71,74,77.2,77,68,84,74,77,70,83,82,80,76,81,79,80,79,69,74,77.06,Mid,Mid,6,73,Stable Performance
69,64,62,58,56,62,69,62,67,62,68,63,59,64,74,74,64.55,69,68,65,57,63,60,66,65,64,63,68,65,59,65,68,73,64.88,Low,Low,10,28,Stable Performance
79,76,78,78,77,79,78,75,71,75,81,77,78,75,72,76,76.59,85,83,81,88,83,83,80,83,84,77,82,82,85,79,76,80,81.94,Mid,Mid,4,79,Stable Performance
76,76,87,79,77,89,85,79,83,80,78,84,80,82,86,86,81.66,76,85,89,76,76,88,87,78,86,81,79,84,81,86,90,84,82.88,Mid,Mid,5,69,Stable Performance
66,71,63,71,70,71,67,79,64,74,64,71,72,69,66,70,69.39,63,74,61,72,68,72,69,78,69,78,65,69,75,70,64,74,70.06,Low,Mid,5,69,Significant Increase Performance
85,92,79,81,85,82,83,89,69,80,75,77,95,86,88,83,83.1,87,100,87,81,89,94,82,93,70,88,79,71,100,87,87,96,86.94,Mid,High,0,92,Significant Increase Performance
81,68,82,73,74,80,79,78,70,78,82,74,84,73,77,85,77.32,88,72,87,77,75,81,79,82,71,87,95,87,93,75,81,89,82.44,Mid,Mid,5,77,Stable Performance
68,77,81,72,69,68,78,78,79,71,77,71,67,77,80,66,73.68,70,78,84,73,64,65,81,78,74,71,76,76,62,78,81,62,73.31,Mid,Mid,4,82,Stable Performance
70,75,80,69,76,72,78,71,79,74,70,75,65,72,76,66,72.9,60,66,79,67,71,61,71,69,70,71,62,78,55,68,67,64,67.44,Mid,Low,8,60,Significant Decrease Performance
65,66,84,77,75,83,76,79,78,75,79,82,77,75,76,66,75.9,59,67,85,79,79,88,79,83,78,77,79,84,75,72,73,66,76.44,Mid,Mid,6,72,Stable Performance
77,69,79,75,76,79,71,77,77,74,71,78,79,76,70,73,75.01,74,70,84,75,76,75,78,75,79,72,75,83,78,79,67,70,75.62,Mid,Mid,6,82,Stable Performance
77,81,70,75,76,77,71,77,76,73,77,75,80,73,78,74,75.62,75,79,74,69,75,80,70,77,74,68,74,79,78,76,76,70,74.62,Mid,Mid,6,77,Stable Performance
67,72,72,68,69,63,77,74,74,62,67,69,61,75,78,81,70.55,61,73,77,72,66,64,75,67,76,66,61,65,62,80,76,82,70.19,Mid,Mid,6,72,Stable Performance
71,76,82,75,73,67,82,76,72,77,77,77,75,84,75,84,76.34,60,73,67,61,67,57,76,76,64,69,74,68,72,77,69,80,69.38,Mid,Low,5,51,Significant Decrease Performance
71,70,67,73,68,63,63,70,63,68,73,69,64,75,71,73,68.89,70,78,72,76,73,72,71,79,70,73,77,83,74,81,75,80,75.25,Low,Mid,6,63,Significant Increase Performance
63,76,79,83,67,80,83,64,77,78,73,72,78,71,73,79,74.73,58,79,81,83,72,86,81,60,77,81,70,77,77,73,76,76,75.44,Mid,Mid,6,83,Stable Performance
79,73,71,68,65,76,70,76,69,67,73,70,64,80,67,75,71.51,85,77,80,71,62,80,74,88,85,72,85,69,66,74,75,83,76.62,Mid,Mid,6,79,Stable Performance
76,65,66,70,67,80,70,76,74,73,72,78,67,80,65,75,72.03,64,67,59,65,58,78,62,70,74,63,76,82,66,68,55,62,66.81,Mid,Low,10,63,Significant Decrease Performance
74,80,82,79,80,74,76,84,81,78,88,75,79,79,84,81,79.64,80,78,81,77,88,78,79,80,80,83,93,70,74,79,84,84,80.5,Mid,Mid,6,83,Stable Performance
80,71,85,79,81,77,76,88,72,75,88,84,79,87,83,82,80.32,83,68,88,81,78,80,78,87,71,72,90,86,82,86,83,82,80.94,Mid,Mid,6,67,Stable Performance
79,80,81,89,77,77,72,78,87,83,75,78,72,73,79,76,78.5,87,86,88,95,85,88,69,89,83,89,81,95,74,73,88,79,84.31,Mid,Mid,6,67,Stable Performance
64,72,69,62,59,67,62,60,75,69,68,69,64,72,69,66,66.62,62,66,70,59,54,69,66,58,70,70,71,70,58,66,64,65,64.88,Low,Low,6,49,Stable Performance
70,67,71,72,71,74,73,75,78,76,78,69,71,77,77,70,73.13,78,76,70,80,70,88,75,77,86,79,80,85,77,82,83,76,78.88,Mid,Mid,4,76,Stable Performance
84,76,83,81,74,79,92,82,93,74,85,68,81,84,85,77,81.2,76,75,85,86,76,76,95,87,94,75,88,68,75,86,81,78,81.31,Mid,Mid,5,69,Stable Performance
81,73,75,74,70,84,76,81,81,71,82,78,71,78,71,84,76.73,83,74,74,72,70,86,79,76,80,70,82,78,70,80,72,82,76.75,Mid,Mid,4,72,Stable Performance
91,86,93,79,83,85,98,81,78,79,91,84,86,90,86,88,86.1,95,82,91,74,82,86,97,82,77,78,89,82,86,90,80,88,84.94,High,Mid,3,76,Significant Decrease Performance
80,75,76,78,81,73,62,80,82,78,78,74,79,81,77,89,77.79,71,63,68,76,75,65,52,73,65,79,74,76,72,71,78,74,70.75,Mid,Mid,6,81,Stable Performance
68,77,70,80,68,69,73,77,73,73,75,75,83,79,74,86,75.14,72,87,69,83,72,73,74,89,77,70,83,84,90,90,81,97,80.69,Mid,Mid,5,65,Stable Performance
76,69,75,76,70,68,74,72,81,77,70,76,80,66,68,73,73.19,75,65,72,75,75,68,76,72,81,82,75,73,85,68,68,72,73.88,Mid,Mid,5,75,Stable Performance
76,75,74,74,78,81,73,88,85,82,79,86,74,72,73,71,77.57,64,65,67,73,71,73,59,83,81,65,74,74,60,69,69,61,69.25,Mid,Low,10,59,Significant Decrease Performance
75,76,75,74,75,83,77,79,75,66,65,85,72,71,75,77,75.02,75,78,76,70,75,80,76,77,76,68,63,87,72,69,79,77,74.88,Mid,Mid,6,65,Stable Performance
82,87,86,74,83,77,78,73,70,78,74,83,77,80,85,71,78.74,83,88,83,76,88,75,77,70,69,82,77,85,74,81,88,72,79.25,Mid,Mid,5,66,Stable Performance
76,81,81,85,84,80,81,81,72,79,81,82,75,73,79,90,80.12,80,80,85,89,91,81,75,80,75,82,79,82,74,70,81,88,80.75,Mid,Mid,5,78,Stable Performance
67,77,79,71,68,74,72,67,68,73,76,69,71,74,70,70,71.6,67,78,78,74,70,78,67,69,70,69,79,67,71,77,66,72,72.0,Mid,Mid,6,83,Stable Performance
65,64,82,67,75,77,67,70,69,60,61,69,66,78,67,78,69.7,74,72,85,71,80,83,81,80,75,63,68,71,69,79,75,82,75.5,Low,Mid,5,67,Significant Increase Performance
63,75,68,69,63,69,74,65,64,65,74,70,73,67,66,68,68.39,72,81,71,74,68,74,76,68,73,67,82,74,75,70,70,70,72.81,Low,Mid,6,73,Significant Increase Performance
83,76,84,79,66,82,71,82,82,79,80,83,75,82,83,86,79.64,87,74,82,77,61,79,71,83,80,83,83,85,79,81,83,86,79.62,Mid,Mid,6,73,Stable Performance
64,72,65,64,71,70,75,68,69,71,65,66,75,67,75,73,69.3,74,79,71,69,80,69,79,69,75,72,71,74,81,74,78,72,74.19,Low,Mid,6,63,Significant Increase Performance
56,67,67,66,64,60,71,64,60,67,61,59,62,61,60,68,63.24,62,70,71,75,68,61,81,70,66,75,60,70,66,61,74,73,68.94,Low,Low,8,37,Stable Performance
76,83,73,68,78,86,80,93,79,78,66,79,78,75,76,77,77.79,73,85,73,71,77,85,77,87,80,80,66,86,75,75,74,75,77.44,Mid,Mid,5,84,Stable Performance
87,98,86,88,85,91,88,86,78,89,86,87,82,95,92,95,88.24,89,89,84,82,81,86,85,80,75,85,83,87,78,93,95,89,85.06,High,High,0,89,Stable Performance
81,78,69,84,70,74,79,79,78,73,72,88,75,74,71,76,76.26,87,84,77,84,71,78,86,85,89,76,66,94,84,85,79,77,81.38,Mid,Mid,4,80,Stable Performance
80,79,81,88,76,79,76,81,76,77,72,80,81,88,82,77,79.59,71,70,70,83,68,76,78,81,66,66,63,73,69,76,77,70,72.31,Mid,Mid,6,77,Stable Performance
69,69,69,85,77,72,71,71,72,82,75,68,87,70,72,82,74.47,74,69,84,92,80,78,77,71,77,93,78,70,91,80,75,88,79.81,Mid,Mid,5,70,Stable Performance
77,72,68,70,70,75,75,74,74,69,76,81,74,74,75,80,73.95,77,69,69,71,74,72,79,72,73,67,75,83,73,71,73,81,73.69,Mid,Mid,6,72,Stable Performance
75,87,82,80,86,74,82,82,75,82,81,79,84,77,81,79,80.24,64,84,68,73,83,66,74,74,63,76,80,74,84,71,75,70,73.69,Mid,Mid,5,77,Stable Performance
70,76,73,66,65,77,67,75,74,72,83,74,77,75,72,73,73.19,77,77,73,74,72,86,70,76,86,64,91,85,84,88,79,74,78.5,Mid,Mid,4,68,Stable Performance
84,82,86,77,72,74,70,80,73,61,89,73,73,85,70,82,77.04,85,86,90,78,71,70,71,73,68,60,89,76,71,88,67,86,76.81,Mid,Mid,4,83,Stable Performance
74,70,85,81,81,78,80,70,77,72,70,79,82,75,76,71,76.3,79,80,100,82,92,78,85,75,84,84,77,83,83,76,83,67,81.75,Mid,Mid,6,74,Stable Performance
72,75,76,74,69,68,76,76,71,70,77,70,75,71,66,80,72.86,81,81,78,75,69,68,73,75,69,71,77,69,77,73,67,82,74.06,Mid,Mid,4,74,Stable Performance
81,76,73,74,78,90,77,87,79,74,78,74,76,76,70,88,78.07,78,65,59,70,70,87,71,84,73,72,71,66,59,71,63,73,70.75,Mid,Mid,4,76,Stable Performance
75,71,75,70,61,89,75,71,64,67,82,82,78,69,82,76,74.16,81,80,79,69,59,91,78,76,76,65,85,90,83,73,89,77,78.19,Mid,Mid,5,68,Stable Performance
74,73,64,65,69,74,64,70,70,75,75,66,78,65,77,68,70.62,74,71,68,66,67,77,67,68,70,78,73,67,79,65,74,72,71.0,Mid,Mid,5,77,Stable Performance
79,79,79,81,80,82,80,71,79,75,72,76,79,79,83,84,78.54,77,80,82,80,83,76,85,74,77,73,75,73,78,82,80,83,78.62,Mid,Mid,4,80,Stable Performance
72,73,71,74,73,70,81,68,78,64,75,78,61,71,74,72,72.17,72,70,60,66,71,71,71,68,65,56,69,76,61,70,70,71,67.94,Mid,Low,9,45,Significant Decrease Performance
77,76,70,87,73,77,72,64,71,68,81,72,73,70,76,72,73.49,85,74,73,89,72,81,73,66,72,66,80,74,68,69,80,76,74.88,Mid,Mid,4,69,Stable Performance
80,76,72,79,75,75,68,75,77,82,71,86,78,67,71,82,75.85,84,82,79,83,80,87,73,78,85,87,78,86,87,70,76,91,81.62,Mid,Mid,6,76,Stable Performance
87,81,81,75,87,75,85,87,81,85,90,82,80,80,77,77,81.73,89,84,80,77,85,80,84,88,81,86,90,84,79,79,76,73,82.19,Mid,Mid,5,74,Stable Performance
80,77,79,70,77,83,72,77,68,71,81,76,86,80,80,72,76.75,82,81,87,82,81,90,75,83,75,79,87,79,93,91,87,71,82.69,Mid,Mid,4,69,Stable Performance
73,71,70,78,79,77,71,77,65,81,68,69,75,76,75,69,73.43,76,71,82,79,80,86,73,83,66,83,73,76,88,85,76,75,78.25,Mid,Mid,5,67,Stable Performance
85,71,72,79,73,85,73,87,84,85,89,79,74,79,76,76,79.1,86,69,67,79,77,84,71,88,83,83,88,79,74,81,79,74,78.88,Mid,Mid,5,75,Stable Performance
83,80,78,81,85,87,74,80,81,76,81,83,85,82,78,92,81.6,81,75,76,79,82,86,76,80,82,77,76,85,87,89,76,93,81.25,Mid,Mid,4,71,Stable Performance
82,81,83,79,84,78,78,81,86,85,81,80,81,83,84,77,81.4,77,80,88,77,82,81,78,81,84,87,86,72,84,84,81,85,81.69,Mid,Mid,4,81,Stable Performance
82,77,78,82,79,80,73,83,79,76,81,88,69,71,88,77,78.84,83,81,81,80,77,78,74,81,77,71,81,90,71,68,87,75,78.44,Mid,Mid,5,84,Stable Performance
69,68,74,81,65,68,67,72,75,77,72,81,66,64,76,69,71.51,76,76,74,83,63,72,72,71,79,83,80,86,71,73,83,69,75.69,Mid,Mid,6,65,Stable Performance
63,68,71,66,65,69,64,73,60,70,72,69,75,63,66,68,67.65,71,76,73,71,70,71,73,70,61,78,73,78,76,69,68,70,71.75,Low,Mid,6,79,Significant Increase Performance
77,75,84,69,66,82,66,77,69,63,72,78,67,76,77,67,72.92,76,73,91,66,66,83,61,79,67,63,73,81,64,75,77,70,72.81,Mid,Mid,4,71,Stable Performance
71,80,75,71,74,69,78,78,73,73,67,65,70,72,77,77,72.96,76,95,77,82,81,66,87,78,73,83,75,71,73,91,82,86,79.75,Mid,Mid,4,78,Stable Performance
75,80,69,79,70,80,74,64,78,78,72,72,73,64,62,81,73.29,72,89,77,82,75,76,83,60,84,83,77,74,79,67,71,89,77.38,Mid,Mid,6,73,Stable Performance
71,85,82,83,72,67,70,73,63,73,74,69,70,74,77,71,73.42,70,95,86,91,78,77,72,76,67,80,85,74,77,78,84,83,79.56,Mid,Mid,5,82,Stable Performance
79,78,78,74,71,86,81,83,77,77,80,68,72,74,75,73,76.71,62,79,70,67,60,83,84,89,76,56,70,67,66,67,77,62,70.94,Mid,Mid,5,77,Stable Performance
76,75,82,87,68,75,75,75,69,70,76,70,75,73,75,70,74.55,63,64,73,78,67,66,65,71,57,56,72,67,64,70,64,61,66.12,Mid,Low,8,42,Significant Decrease Performance
78,73,78,84,79,79,82,70,86,72,82,81,73,82,80,87,79.17,82,72,76,87,81,77,83,72,86,74,80,83,72,80,77,87,79.31,Mid,Mid,5,68,Stable Performance
76,75,73,67,74,74,77,68,74,78,79,66,79,74,74,63,73.18,74,76,76,72,79,72,77,65,67,78,75,63,77,70,74,65,72.5,Mid,Mid,6,65,Stable Performance
73,66,57,67,67,71,64,65,62,68,61,61,65,59,73,75,65.84,73,65,55,65,70,71,66,68,59,67,66,61,66,58,78,74,66.38,Low,Low,9,39,Stable Performance
68,63,72,68,76,66,73,71,67,72,75,71,71,66,76,76,70.62,60,55,61,60,73,52,72,68,60,67,66,63,65,55,72,74,63.94,Mid,Low,9,42,Significant Decrease Performance
72,74,81,69,77,71,83,75,81,70,68,73,76,72,78,73,74.58,85,80,85,76,88,73,92,70,87,79,74,82,73,83,74,77,79.88,Mid,Mid,6,74,Stable Performance
59,72,65,67,77,78,66,72,66,68,66,60,69,70,66,74,68.38,55,71,66,65,78,81,65,72,71,68,67,58,74,70,65,73,68.69,Low,Low,10,48,Stable Performance
76,75,81,70,83,76,83,84,81,74,72,71,84,77,75,77,77.4,74,79,85,69,84,75,87,85,79,70,68,77,89,77,74,82,78.38,Mid,Mid,5,70,Stable Performance
88,87,85,86,84,84,84,83,86,84,78,85,84,86,82,87,84.52,99,88,89,88,86,86,86,93,93,90,80,95,87,88,84,97,89.31,Mid,High,1,91,Significant Increase Performance
81,85,79,79,84,79,92,84,81,85,79,86,86,87,79,75,82.54,79,89,77,85,84,85,96,86,82,89,83,91,86,89,73,76,84.38,Mid,Mid,4,70,Stable Performance
71,73,82,85,76,74,72,78,85,83,80,80,78,74,70,74,77.08,72,84,78,94,76,81,79,80,87,82,87,85,82,85,73,79,81.5,Mid,Mid,5,72,Stable Performance
85,75,82,78,88,80,84,79,90,74,85,76,80,83,84,84,81.63,82,79,91,79,92,88,85,84,96,80,87,76,89,88,88,91,85.94,Mid,High,0,87,Significant Increase Performance
77,73,75,76,77,75,79,76,77,74,70,77,82,78,72,80,76.02,73,73,76,78,80,71,80,80,79,72,70,76,82,81,74,83,76.75,Mid,Mid,6,70,Stable Performance
72,77,71,75,71,71,65,76,75,75,75,70,78,78,69,76,73.41,68,73,71,74,70,72,66,79,76,68,73,73,76,81,64,74,72.38,Mid,Mid,5,83,Stable Performance
76,70,70,75,64,66,67,63,77,62,74,76,70,69,73,72,70.3,72,69,65,76,67,64,66,63,78,65,78,71,69,66,72,75,69.75,Mid,Low,6,57,Significant Decrease Performance
79,60,69,76,74,77,75,73,72,85,81,76,74,76,78,76,75.01,80,59,66,75,68,79,78,71,73,80,81,71,69,76,77,77,73.75,Mid,Mid,6,78,Stable Performance
69,82,74,83,74,72,80,75,74,67,76,71,71,71,75,65,73.68,66,80,73,84,73,75,82,74,73,67,77,72,70,70,73,62,73.19,Mid,Mid,5,68,Stable Performance
75,81,70,77,73,74,84,68,80,73,73,70,80,75,74,76,75.12,78,85,76,80,77,75,88,73,85,85,78,72,86,84,80,83,80.31,Mid,Mid,5,68,Stable Performance
75,66,73,80,68,70,74,72,76,70,74,76,79,82,74,85,74.69,74,63,72,83,68,66,75,73,80,66,72,77,77,78,74,85,73.94,Mid,Mid,4,74,Stable Performance
74,79,85,76,68,75,72,74,85,69,77,71,73,79,77,74,75.41,77,77,83,77,72,75,67,77,85,69,78,68,75,76,75,73,75.25,Mid,Mid,4,75,Stable Performance
74,79,86,73,87,83,84,79,83,72,74,81,79,76,65,75,78.04,79,89,87,78,95,90,84,87,91,73,80,87,82,80,60,84,82.88,Mid,Mid,5,82,Stable Performance
75,83,80,78,94,86,86,92,85,77,77,86,71,81,70,81,81.37,76,84,79,75,93,85,88,92,88,77,77,84,70,80,70,80,81.12,Mid,Mid,6,80,Stable Performance
84,81,84,90,79,94,81,84,77,88,85,87,80,73,82,71,82.54,84,78,86,91,80,92,84,85,74,92,85,91,83,71,87,69,83.25,Mid,Mid,6,70,Stable Performance
66,69,79,69,68,67,61,68,68,63,62,65,68,65,62,69,66.85,68,75,89,80,73,71,69,70,76,72,71,70,72,77,67,78,73.62,Low,Mid,5,60,Significant Increase Performance
65,63,59,65,61,56,67,64,62,54,59,72,55,61,62,64,61.86,71,66,66,66,63,54,69,69,66,61,61,77,58,63,64,65,64.94,Low,Low,8,54,Stable Performance
72,81,71,80,76,75,84,78,82,82,86,74,84,80,78,74,78.62,80,85,74,84,78,83,87,84,86,86,91,79,85,81,82,83,83.0,Mid,Mid,6,75,Stable Performance
71,64,71,78,73,75,65,72,62,67,77,65,74,73,74,62,70.11,74,67,68,77,70,78,59,68,66,69,79,64,78,73,70,64,70.25,Mid,Mid,6,81,Stable Performance
77,73,79,66,76,75,64,69,65,70,77,75,75,69,79,74,72.61,81,69,80,73,79,76,64,71,68,73,80,78,74,69,76,74,74.06,Mid,Mid,5,78,Stable Performance
69,74,64,70,71,66,72,72,69,68,72,73,69,75,72,60,69.88,80,93,75,94,85,86,82,85,80,82,87,85,87,87,84,73,84.06,Low,Mid,7,67,Significant Increase Performance
59,72,65,67,72,66,66,62,68,69,63,61,79,66,63,70,66.62,59,73,67,66,71,72,68,62,63,65,65,61,80,66,65,72,67.19,Low,Low,10,38,Stable Performance
77,72,80,73,86,80,76,78,82,79,88,83,80,73,77,80,79.15,81,74,81,76,84,78,77,80,82,79,88,84,83,74,76,77,79.62,Mid,Mid,5,73,Stable Performance
75,85,74,76,76,83,75,70,84,77,73,75,87,76,78,77,77.47,69,90,69,75,74,89,71,74,84,71,69,73,89,75,82,82,77.25,Mid,Mid,5,78,Stable Performance
66,68,66,77,73,85,69,68,80,77,74,67,81,72,70,78,73.04,70,73,66,79,67,84,67,65,83,75,69,64,77,70,74,83,72.88,Mid,Mid,6,81,Stable Performance
62,56,62,58,47,58,59,56,65,58,64,56,67,56,50,68,58.94,64,55,63,57,45,58,61,58,59,57,66,54,68,62,50,65,58.88,Low,Low,11,33,Stable Performance
68,81,75,76,77,73,73,79,73,69,75,62,79,79,78,78,74.67,66,82,78,77,76,70,72,80,69,67,84,57,79,80,81,80,74.88,Mid,Mid,5,72,Stable Performance
77,76,71,86,75,79,78,70,68,77,75,77,82,78,81,79,76.74,78,82,76,97,82,89,91,70,66,92,83,84,90,83,80,77,82.5,Mid,Mid,5,72,Stable Performance
66,63,69,68,72,67,66,66,63,75,73,62,72,58,73,64,67.28,64,63,71,68,78,72,67,67,70,81,78,65,81,61,76,64,70.38,Low,Mid,5,67,Significant Increase Performance
78,66,70,78,72,72,83,87,81,70,85,68,74,76,86,80,76.67,88,71,77,81,73,79,82,96,94,77,91,69,81,79,88,84,81.88,Mid,Mid,4,65,Stable Performance
73,70,80,72,76,68,78,77,69,80,78,79,73,76,75,74,74.85,61,57,75,64,71,52,79,72,74,72,70,70,58,71,67,62,67.19,Mid,Low,8,59,Significant Decrease Performance
79,84,83,72,83,84,77,80,80,74,76,82,75,83,84,84,80.02,77,78,84,68,91,84,76,85,80,67,76,84,73,86,83,82,79.62,Mid,Mid,5,81,Stable Performance
85,75,76,77,75,78,67,77,69,71,79,75,79,74,81,74,75.88,81,74,79,83,70,85,70,82,71,74,81,73,80,78,81,76,77.38,Mid,Mid,6,70,Stable Performance
60,71,59,63,66,65,67,65,63,78,67,59,68,65,66,74,65.99,62,71,60,64,63,63,65,62,62,76,70,63,64,60,69,78,65.75,Low,Low,7,34,Stable Performance
79,75,83,87,84,69,75,81,80,79,76,74,91,81,84,81,79.96,86,77,93,95,84,78,77,83,83,86,82,81,100,80,95,81,85.06,Mid,High,0,87,Significant Increase Performance
74,74,69,67,76,75,79,78,70,80,78,78,85,84,78,77,76.37,77,85,62,64,85,84,86,84,81,90,84,77,81,91,87,86,81.5,Mid,Mid,5,81,Stable Performance
80,72,72,78,71,78,76,71,75,81,75,75,77,77,73,77,75.47,80,75,69,76,73,80,78,70,72,80,75,72,79,75,74,79,75.44,Mid,Mid,4,70,Stable Performance
65,66,67,73,71,70,74,72,69,65,66,63,71,66,68,70,68.49,73,75,72,81,86,82,91,83,78,83,72,80,89,72,79,82,79.88,Low,Mid,5,60,Significant Increase Performance
78,77,73,79,63,82,76,73,68,71,76,76,76,69,68,74,73.71,84,93,84,78,69,84,78,78,76,78,78,84,85,67,76,86,79.88,Mid,Mid,5,82,Stable Performance
74,71,78,71,71,74,77,64,65,69,86,69,70,74,75,71,72.43,70,74,77,69,74,77,74,65,67,64,87,65,70,73,70,68,71.5,Mid,Mid,6,68,Stable Performance
80,68,70,80,74,68,68,70,74,76,72,76,72,80,87,72,74.28,78,66,70,78,71,65,71,75,74,78,69,73,72,82,87,73,73.88,Mid,Mid,6,72,Stable Performance
86,86,84,87,86,81,90,85,82,96,83,85,84,83,86,79,85.13,84,82,84,85,76,76,85,81,78,92,83,87,81,80,87,71,82.0,High,Mid,4,76,Significant Decrease Performance
71,59,62,77,62,58,62,77,59,63,61,67,66,66,77,62,65.62,69,60,64,73,61,58,68,79,58,61,61,61,66,68,75,61,65.19,Low,Low,9,45,Stable Performance
66,69,62,69,65,69,66,57,73,77,66,62,74,76,66,66,67.83,63,65,63,71,62,70,67,55,74,77,67,65,70,76,65,66,67.25,Low,Low,8,45,Stable Performance
82,74,81,91,82,77,85,79,82,76,77,86,83,78,83,79,80.95,84,74,80,95,82,78,83,78,83,74,73,88,84,75,82,76,80.56,Mid,Mid,5,75,Stable Performance
70,80,78,74,75,74,76,70,78,76,73,72,78,73,70,72,74.28,79,83,88,77,84,77,82,78,83,82,75,75,84,81,70,72,79.38,Mid,Mid,6,72,Stable Performance
76,64,70,77,71,73,77,76,69,71,76,76,71,71,73,78,73.13,74,68,68,78,76,68,74,71,70,72,74,81,72,63,66,80,72.19,Mid,Mid,5,71,Stable Performance
